Job_No,Job_Description,Billed_Revenue
2031,GSH Doctor's Dining Room,330018.0
2032,DH OR Maintenance,79060.36
2033,Chiller Removal at AHU-5 Penth,3674.0
2034,Melchor Ste. 212 T.I,23128.0
2035,Paper Towel Display,414.0
2037,PAMF Fremont 2 Ped #1113 Conv.,28414.0
2040,ECH MV Exec Admin 1N261 Card,1729.0
2041,ECH MV 2E305 and 2E310 Card,11438.54
2042,ECH MV Pyxis Move into OR,3297.5
2043,ECH MV Power Strips to Open PO,3227.0
2044,DH 1st Floor Corridor Wall Rep,2922.0
2045,87 Encina Permit Fees,72095.34
2046,Equinix Santa Teresa Blvd Exca,1350.0
2047,Fertility Clean Out Addition,11039.0
2048,DH Coil cleaning at lab draw,3547.0
2049,Franklin St. Sign Bases,4769.92
2050,Lobby Waiting Corridor VCT Rep,8661.0
2051,Cath Lab Door Repairs,9772.0
2052,701 MV Analyzer Replacement,6343.0
2053,Central Sterile & NucMed Wirel,637.0
2056,Shelter Creek Excavation,27417.05
2057,Entrance Concrete Replacement,15520.0
2058,Athletics Building 12kv Expans,800096.01
2060,Microbiology Mobile Sink,465.0
2061,New Kitchen Steamer Kettle Rei,5183.0
2062,Women's Hopsital Coffee Dispen,3866.0
2063,DH Temporary Generator Anchora,17358.0
2064,Clinical Engrg TV Relocation,1360.0
2066,SPD Wall Repair,823447.0
2069,DH Radiology Ctrl Rm Sewer Lin,46081.0
2070,DH NICU Wall Finishes,8193.0
2071,New Shower Stalls 2129/2130,29315.0
2072,Central Sterile Ceiling Repair,4988.5
2073,49 Wells Stereotactic #217,87926.12
2074,AHU-7 Exhaust Duct Leak Seal,15289.0
2076,Kitchen BioAmp Cabinet Install,1013.0
2077,DH Paul Sweet Outside Lighting,3658.0
2080,I.R 2 Paint & Opener Adjust.,593.0
2081,Ante Rm 3201 Paper Dispenser,383.0
2083,Building 12,13070.0
2084,OR Storeroom Fire Treated Ply,6728.0
2085,1st Floor Painting Accent Wall,2589.0
2086,Clean Shield Tee Prob Storage,4332.0
2087,Mirrors for CT and OR,3062.0
2088,Melchor Ste. 212 Hanging Accs.,2141.0
2090,Lift Station,519194.0
2091,Melchor Ste. 209 T.I,45101.0
2093,Building 10 Auto Opener,11817.0
2096,Paint and Wall Repairs,12661.0
2098,New Main Clinical Lab GC400,20882.73
2100,DH OR Office,6482.0
2102,Fremont Bld #1 1st & 2nd Bath,293200.0
2103,Building 12 Plumbing Cover Box,1505.0
2104,2nd Floor OR Acrovyn Install,2980.5
2107,Misc Concrete & Trenching,17450.0
2109,Main Level Halllway Floor,90821.0
2110,WH Driveway Concrete Repair,4200.0
2111,LPCH Relocate Panic Button,328.0
2113,Outpatient BH Door Swap,616.0
2114,Old Main Storage Tile Repair,5634.0
2116,DH Frederick's ST Wall Repair,2913.0
2117,OR #3 & OR #5 Flooring Repairs,4427.25
2118,New Main Stairway Outside Conf,12950.0
2119,BHS Cabinet & Endo Rm 5,1411.0
2120,4000 Dublin Ste 305 Pediatrics,314746.39
2121,DH Paul Sweet Instahot,1865.0
2122,PPI BTE Equipment Anchoring,2387.0
2123,GA221 Men's Rest. Cracked Tile,5988.0
2124,Hazmat Cabinet Relocation,328.0
2125,2581 Samaritan Surgery Light,37566.0
2126,701 MVC Stereotactic Table Rep,75198.0
2127,SMSC Gas Enclosure Awning,11883.0
2131,Melchor 102 & 106 Emergency,15860.0
2133,ED Above Ceiling Investigation,657.0
2134,DH Radiology Fire Alarm,793.0
2135,LPCH Elevator Modernization,2419085.0
2139,2520 Samaritan IDF Cipher Lock,3246.0
2143,825 Pollard Casework,2488.0
2144,Mammography Casework Modif,13215.0
2146,DH Lab Draw Painting,7576.0
2148,205 South Dr Suite A Wall Fini,8470.0
2149,Winchester Door Seals,1045.46
2150,PAMF Permit Fees,24974.84
2151,12kv Building Emergency Piping,4819.0
2153,701 - Imaging Dressing room,6391.0
2157,PAMF 701 MVC Lab Analyzer Repl,109894.64
2159,Bistro Shelf Removal & Tile,793.0
2160,795 Jamplis/Lee ADA Monitoring,73138.7
2161,2520 Samaritan EMT Chase & Fib,2933.0
2162,Alameda Hall Gas Line,125501.59
2163,AHU-5 PACU Post Air-Balance,2243.0
2168,DH Awning Anchorage,898.0
2169,DH OR 2 Ceiling Repair,7741.0
2171,Dr's Shower Valve,4200.0
2172,Melchor Ste 211 Renovations,6967.0
2173,DH Housekeeping Tacky Mats,368.0
2175,2204 Grant Rd Door Replacement,3050.0
2176,300 Orchard City Dr Overhead,4800.0
2177,DH OR Flooring Containment,1952.0
2178,Bike Lockers,97532.0
2180,OR Maintenance (Job 1496/2032),34567.34
2181,Misc,703.58
2182,Dublin 4000 Urology Rm 2133,6881.0
2183,Ceiling Code Requirements,3014.0
2184,DH Break Room Electrical Outle,1888.0
2185,DH Education Building Ofc Door,3231.0
2186,PAMF 4050 Dublin Utility Room,26236.5
2187,PAMF Fremont Cardiology Expans,2057220.86
2188,DH Bthrm Water Damage Repair,2565.0
2189,PAMF 701 MVC Water Line to New,8630.0
2190,PAMF Fremont Bld 1 2nd Flr IFM,12708.0
2191,PAMF 2581 Samaritan Autoclave,242237.1
2192,DH Pond,6094.0
2193,DH Drywall at Old MDF,5524.0
2194,PAMF 701 ASC Medivator Equipme,168364.24
2195,PAMF Oakmead HVAC Upgrades,321952.0
2197,1200 Campbell Dirt Removal,8500.0
2198,IHC 1333C Ceiling Repair,2900.0
2200,SCU Baseball Field Concrete De,3000.0
2201,Clinical Eng. Bench Privacy,1772.15
2202,Old Main Outpatient Lab Restro,328.0
2203,2500 Grant Road,677.0
2204,ED Waiting Room Phone Charging,899.0
2205,ED Staff Lounge Refrigerator R,894.0
2206,Conduit Re-pipe for Light Pole,89000.0
2210,DH ARU Water Leak,7534.0
2211,DH Paul Sweet Door Repair,502.0
2212,320 & 340 Dardanelli Ln Caulki,11487.62
2213,SS - RMC IFC at ER for power,1794.0
2214,PAMF Fremont R&R Door for EXL,2300.0
2215,PAMF 795 Radiology Oncology CT,314729.6
2216,Oak Cancer Center Sound Board,5617.18
2221,ECH MV Melchor Suite 211 Renov,66711.0
2225,PAMF SMSC Replacement Tubs at,92332.5
2226,ECH LG Damaged Ceiling Tile Re,3204.52
2227,ECH LG OPS II Bathroom Upgrade,6901.0
2228,IHC Wellness Flood repairs,24034.0
2229,DH 2NE Drain Line Replacement,2202.0
2230,Admin Casework Demo,793.0
2231,Slivercreek Office Conversion,10841.0
2232,Meridian Op 8 Room 136,4549.0
2233,SCU Ticket Machine Concrete,3800.0
2234,Meridian TVs Setup for Medical,10244.0
2235,5,7323.0
2236,DH Short Stay Sewer Line Repai,7438.0
2237,New Main IMOB Patio Furniture,5110.75
2238,227 N Jackson Lease End Prep,42664.96
2239,Elevator Modernization,563933.0
2240,Pharmacy USP797/800,2477695.0
2242,DH Hot Cut,581.0
2243,DH Humidity Sensor Replacement,15064.0
2244,BHS Chromebook Mount,560.0
2245,Relocate existing Sharps Cont,730.0
2247,IHC Meridian Vision Lite,1209.0
2250,SCU Whiteboards,51201.5
2251,Container Ramp,3221.04
2252,Ortho Staff Bathroom Plumbing,24565.25
2253,Vision Lite in Exterior Door,1765.0
2255,IHC 1333A Meridian Flood Repai,147710.0
2256,DH Antenna Ceiling Repairs,4027.0
2257,ECH LG Admin Remodel I.C,1212.42
2258,ECH LG Lab TV Backing,702.59
2259,Ste. 209 Replacement Transacti,631.0
2260,CT Replacement Concrete Trench,10500.0
2262,18550 DePaul Drive Safe Anchor,479.0
2264,Melchor Ste 209 Paint & Carpet,16927.0
2265,Central Sterile Washer Investi,12650.0
2267,SMSC Med Air Vacuum Replacemen,333677.0
2268,2581 Samaritan - Cryo Storage,24044.0
2269,SCU Bloom Attenna,7000.0
2270,OR Flex Duct Replacement,757.0
2272,Anchor Test Base in Concrete,1644.0
2274,370 Distel - #110 Office to Di,19533.0
2275,1300 Crane - (9) Restroom Refr,166130.5
2276,1300 Crane - Entry Concrete Re,9820.0
2277,1300 Crane - 2South Allergy Re,45264.9
2278,1300 Crane - 1st flr Ped Refre,306226.0
2279,Lab Infection Control,1025.0
2280,SLRH Kitchen Sink,4881.0
2282,SLRH EVS Wall Repair Drywall,1100.0
2283,Dr's parking Regrout,2818.0
2284,ED Remodel Pyxis Anchoring,16742.0
2285,DH Elevator Room Access Door I,1347.0
2286,SLRH RME Xray box,4581.0
2289,Stanford Clinic PSR/MA Area Re,7869.28
2291,UHA/VMOC Call Center 6377 Clar,8516.2
2292,UHA 1133 E. Stanley Blvd Pleas,10426.16
2293,"UHA 6475 Camden Ave. SJ, Suite",56136.0
2298,UHA 20126 Stanton Ave. Suite 1,2770.69
2302,DH MRI Electrical Protection,662.0
2304,Willow OP Surgery Dept.,254165.52
2306,227 N Jackson IDF Cooling,8325.0
2307,SVMD/SJMG Sites Misc. Tasks,77784.92
2308,Mammography Sink Replacement,6809.0
2310,DH Dietary Office Refresh,16874.0
2311,IHC Meridian Signage,21235.0
2313,IHC Westwood Behavior Health,158148.0
2314,OR Dept. Mgrs Office Door Mod,3533.0
2315,Roof Access for MBU Utilities,9764.0
2316,OR Storeroom FS Valve Access H,975.14
2319,1333A Restroom 145,7904.0
2324,SLRH Core Drill 227,3443.0
2328,2585 Samaritan Basement Call R,30915.0
2329,Cafeteria Door Replacement,6337.0
2331,SMSC Ductless HVAC Split,13550.0
2332,DH Wall Damage by Endo,983.0
2333,Melchor 209 Glass Replacement,9354.0
2334,ED Monitor Outlets,10338.0
2336,2nd Anchor of Base to Concrete,1399.0
2337,5575 W. Las Positas Blvd. Plea,18374.45
2338,5575 W. Las Positas Blvd. Plea,23410.55
2341,DH Central Sterile Containment,3774.0
2344,IHC Meridian Medical Moderniza,172069.0
2347,DH Drywall Patches by Lab,1193.0
2348,LPCH Alternate Cistern Water S,124764.0
2349,DH Low Temperature Sterilizers,6662.0
2350,125 South Dr Unistrut,4491.74
2356,Brentwood Sinks STE #175,133893.43
2362,Soccer Building Colored Concre,21000.0
2363,Whiteboards Inside OR & LD,10272.42
2364,Archaelogy STEM Devcon Fence,0.0
2366,Fremont Negative Pressure Room,52407.29
2367,2433 Central Ave. Alameda * So,3038.7
2369,Steel Spider Installation,5175.0
2370,Artwork Concrete Pedestal,14456.0
2372,ED Remodel I.C for Data,1064.15
2373,YMCA Ground Floor Rack Assembl,7638.0
2374,SLRH DPHC Valve Replacement,4708.0
2375,SLRH DPHC Drywall Repairs,1184.0
2379,IHC Meridian wall repair at de,1521.0
2380,ECH Door Adjustments,471.0
2381,Whiteboard Install in OR Suite,8600.41
2382,Soccer Bldg Trellis Expansion,25881.62
2384,PAMF 370 Distel Radiology Floo,18747.0
2385,SLRH Monitor Brackets,15864.0
2386,UHA Allergy Clinc Refresh,41623.2
2389,Lab Upgrades Open EOS,78345.85
2391,370 Distel - 7 computer rails,21712.0
2393,Pharmacy Narcotic Cabinet Shel,4744.5
2394,Willow 2nd Floor Conference Ro,1518.0
2396,Lead Apron Install,6782.64
2397,1A211 ED Confrence Room Painti,4847.0
2398,Elevator Floor Replacement,23556.0
2399,DH 3050 Paul Sweet Door Repair,118.0
2400,Winchester Door Modifications,2405.0
2401,Taube Pavilion Concrete Wall S,988.0
2402,"1300 Crane, Parking Lot Repair",7002.0
2403,Kitchen Whiteboard and CD Burn,1408.18
2404,PAMF 701 ECM - 2SE Water Damag,161254.5
2405,DH OR 7 Steris Light,109784.0
2406,Cancer Cntr Alt Staff Entrance,21421.0
2407,Rehab New Floor Prep Work,49984.74
2408,Ortho Water Damage Repair,29926.04
2409,PAMF Ortega 5th Floor,100442.0
2410,PAMF 123 S. San Mateo Flooring,13057.0
2411,ED POC Station Upgrades,1144.08
2416,OR Dept. Vision Lites,9808.0
2417,Suite 3 ADA Toilet Upgrade,52675.0
2418,OR Storage Infill Door,3961.47
2422,Insulating Treadmill & Evergla,5172.0
2424,SMSC Painting loading dock ove,19880.0
2426,Ortho Pavilion Exterior Bolt R,599.0
2429,SMSC Air Compressor Replacemen,13870.0
2431,ECH MV Taube Pavilion OF/CI It,66782.63
2432,ECH LG Infection Control L&D H,595.0
2437,ECH LG Relocate Steel Ladders,1842.0
2438,ECH MV YMCA Cut Shelving Groun,1115.0
2439,701 MVC - 3rd floor Audiology,15981.0
2440,777 Knowles Ste. 06 Water Dama,7998.62
2441,Misc. Acrovyn and ED Bathroom,10750.0
2442,Re-caulk Storefront Glass,1388.0
2446,ADA Curb at South Drive & That,14500.0
2447,ECH MV Water Damage Repair,17043.0
2448,IMOB Umbrella Safety Pin,311.0
2449,Anerobic Chamber Decontam & Di,2634.0
2451,PAMF System Wide Toilet Anti C,3031.0
2453,Roof Penetration Data,3283.0
2454,Old Main AC Pipe Repair,3385.0
2456,PAMF ECH  MFM Expansion FL,73493.0
2459,DH SPD Sewer line replacement,9135.0
2460,Shower Seat Install,3626.0
2461,MCHS Tub Room Remodel,38979.0
2466,3035 N. Main St. Soquel- Aller,49021.0
2467,2907 Chanticleer- MOB Generato,65522.0
2468,701 E El Camino North Stair To,28980.0
2470,SLRH Existing Equipment Reloca,3342.0
2471,ECH LG OR Case Cart Latching,1911.47
2472,Amico Rail Installation,16625.0
2473,L&D OR Storeroom Modifications,17715.0
2475,Emergency Dept. Exterior Wall,7304.0
2476,Inpatient Pharmacy Lockers,2228.0
2477,IHC Meridian Roof Ladder,9676.0
2482,UHA Eden Medical Chemo Hood,97450.0
2483,ECH LG Accessories New Cancer,19025.0
2484,SLRH Sterrad Replacement,10915.0
2485,Cath Lab IR Ceiling Investigat,2299.0
2489,Yoda Confrence Room Insulation,1548.0
2492,123 San Meteo Fish Tank Cabine,2612.0
2493,Fremont Build #2 - Procedure E,3898.0
2495,IMOB Crtyrd Furniture Assembly,10181.0
2496,SVMH 420 E. Romie OP Clinic D,55053.0
2497,Fremont Microwave Enclosures,3430.0
2498,Fremont Bottle Filler,35801.0
2499,49 Wells Auto Door Opener Repa,6334.0
2500,Fremont add vision lite to doo,3753.0
2502,WO #4374 - Repair Steps at 51,2440.0
2509,777 Knowles Anchor Safety Box,493.0
2511,4700 Soquel Roof Eaves,907.0
2516,795 WO Repair (3) Columns,10835.0
2517,WO#4300 - Install (2) Baby Cha,10217.0
2518,Remove Skylights,18121.0
2520,701 MV SPD Soiled Scope Sink R,180836.12
2521,I.R Wall Repair & Kitchen Supp,1543.06
2523,Clinical Engineering Office,30076.0
2524,2660 Grant Rd ADA Upgrades,10355.0
2526,Women's Hospital Flooring,342960.0
2527,ECH MV Furniture Glides,535.0
2529,ECH MV NICU Pyxis Relocation,2034.0
2530,ECH MV New main 3C lockers rel,5731.0
2531,ECH LG Tempered glass kitchen,852.28
2532,ECH LG Breezeway Container Ram,2386.0
2533,DH SSPD Sewer Drain Repair,113605.0
2534,Sequoia New Satellite and Rel,33270.0
2536,ECH LG Outpatient Surgery Aces,794.0
2540,701 - ASC - Nurse Call Replace,307696.0
2542,Resting Wing Artwork Plaque,1250.0
2543,PAMF 795 ASC OR Surgical Light,74651.35
2544,DH Paul Sweet Electrical,1720.0
2547,L&D Ceiling Access Panel,425.0
2548,PAMF 4000 Dublin Install Doors,6435.0
2550,LG Womens Locker Rm Mirror,1353.0
2552,SLRH Brackets 130-132,4920.0
2554,PAMF Sunnyvale Center MRI Trai,79233.0
2555,PAMF 701 Allergy Lab Lobby VVI,21173.0
2557,ECH LG Labor and Delivery Hall,304.0
2563,PAMF WO#7287 Distal South Entr,1667.0
2564,ICU Underground Investigation,3403.0
2565,ECH LG Lab I.C,4139.0
2566,ECH LG Dist. Plant Asphalt,4200.0
2567,ECH MV Melchor 209 Sound Isola,45352.0
2574,ECHMV Womens Medical Group,172734.0
2575,Erba Ln Scotts Valley,2520.0
2576,LG Respitory Center FR Plywood,1719.0
2577,LG Modify Med Carts,637.0
2578,ECH LG OR Jamp Replacement IC,1893.0
2579,Oaks Access Door,1089.0
2582,2020 PAMF Permit Fees,47900.51
2583,ECHMV Bldg 14 Refresh,4942.0
2584,ECHMV Inpatient Pharmacy Mirro,1362.0
2586,ECHMV Biosafety Cabinet D & D,4507.0
2588,DH Flooring Containment OR,8331.0
2589,ECHLG OPS II MRI Auto Opener,52739.0
2590,SLRH Rad 3 Equipment Removal,58213.0
2593,ECH MV Kitchen Oven Replace,14440.0
2597,DPHC Restroom Demolition,33772.0
2598,ECHLG Rehab Landscape Decompos,8000.0
2599,ECHMV Bldg 14 Roof Leak Repair,912.0
2600,ECHLG ADA Toilet & Hot Lab,48903.54
2602,PAMF 701 Allergy Back of House,7965.0
2603,OCH SPD/2412 Remodel,1681114.0
2604,IHC 1333 Meridian Handrail Rep,1782.0
2605,ECHLG L&D Accessory Mounting,877.0
2606,ECHMV Sobrato Sculptures,877.0
2607,ECHLG Cancer Center Guard Rail,27627.0
2610,ECHMV 125 South Drive Investig,5000.0
2612,DH Antenna Conduit,6061.0
2613,DH L&D Wall Finishes,4929.0
2614,New Main Planter Relocation,471.0
2615,DH Paul Sweet Mens Sink,1448.0
2619,PAMF WO #8646 Old San Fran Doo,341.0
2621,ECHMV MRI Trailer Replacement,110916.0
2622,DH Radiology Anchorage,1664.0
2623,DH OR Wall Repair,1531.0
2625,DH ER Frames Repair,1850.0
2626,ECHMV Cath Lab EPIC Displays,6141.0
2627,ECHLG 320 Dardanelli Ste. 27B,44997.0
2632,DH Short Stay & NICU Piping Re,73947.0
2633,ECHMV Questa Ste. 202 Refresh,8968.0
2635,DH East Cliff Drive Wellness C,1102030.91
2637,DH Central Sterile New Washer,179554.22
2640,"PAMF 795 - Move Furniture, CBP",17074.0
2646,PAMF WO#7188 715 Altos Oaks Ba,761.0
2647,DH Admin Access Doors,3748.0
2650,PAMF Samaritan Replace Heating,2386.0
2651,DH Ceiling Tile at ED Door,1471.0
2655,ECHMV USPS Installation,4656.0
2659,Emergency Dept Tent Fiber/Pwr,22098.0
2660,EVS Storeroom Fire Rated PW,2393.0
2662,Rehab Toilet Roll Holder Insta,1373.0
2663,DH Corridor Wall Repairs,1694.0
2664,Outdoor COVID-19 Tent,17224.0
2665,Sequoia Temp Fiber & Power to,26689.0
2666,SJMC Temp Fiber & Power to Ten,11148.0
2668,PAMF - 301 Old SF Rd. - Genera,385145.0
2669,PAMF 7600 Aptos Generator Inst,221546.0
2670,PAMF 550 Watsonville Generator,154892.0
2676,ECHMOB Willow Glen COVID-19 Te,13880.0
2677,DH Power to Emergency Tents,2925.0
2679,ECHLG Nurse Call Additions,5904.0
2681,ECHMV Pulmonary Health Temp Me,3792.0
2682,LPCH Unit 255 Remodel,34207.0
2684,Sobrato Phone Brackets,6429.0
2685,ECHMV Moms Aspire Accessory In,266.0
2686,Motor Cafe Trench Repair,4500.0
2688,"PAMF 701 Lab Leak,Caulk,& Tile",2350.0
2689,ACCO Richmond Air Handler Stru,7436.0
2690,SLRH ED barriers,1875.0
2692,IHC Wellness leak repairs,13678.0
2693,ECHMV Sterrad Replacement,17259.0
2694,LPCH 3604 leak,26975.0
2696,DH West Side Drywall Repair,927.0
2697,LPCH Ante Room 3224,3897.0
2699,SJMC Surge Tents - Electrical,34950.0
2700,SJMC Surge Tents - Low Voltage,12642.0
2702,Repair Solar Overhang SCC,2897.0
2703,OPS Thermometer Hooks & ED,2603.0
2704,ECH LG Roof Leak Repairs,18472.0
2706,Oak Pavilion Cancer Center Acc,624.0
2707,OPS Acrovyn Install,6440.0
2709,DH OR Nurse Station Light,2228.0
2711,IHC Forest 105 Floor Repair,14503.0
2712,Norcal PS Radio Tower Demo,2549.0
2713,Campbell PC Workstations,19277.0
2714,Admin Office Refresh,1744.0
2715,Ortho Hallway Fountain Demo,4887.0
2719,PAMF 4000 Dublin 2nd Flr Clini,6926.0
2720,SVMH RAD / FLUORO Room 3,880502.0
2721,SMSC Water Main & Backflow A R,87858.0
2723,Sys Studies 21340 East Cliff D,129112.5
2724,PAMF 570 Willow Rd Duct Wk Rep,5532.0
2725,Countertop Water Dispenser,633.0
2726,Devcon SCU Data Riser Relocati,11460.0
2727,Rm. 3103 Valance Repair,1738.0
2728,Melchor Ste.105&110 Water Leak,782.0
2729,PAMF 795 El Camino 3 Flr X-ray,394067.0
2731,Devcon SCU Athletics Trench,3850.0
2732,SLRH COVID Ramp,1268.0
2733,UHA 1300 Crane St 2S Allergy,577352.9
2736,DH OR Corridor Access Door,1376.0
2737,PAMF 1320 El Cap Ste 300 Danvi,56588.0
2738,PAMF 20055 Lake Chabot Ste 110,58756.56
2741,ECHLG Security Upgrades,77145.0
2742,ECHMV Lactation Room Sink,20115.0
2743,ECHMV Willow Pavilion Mech Upg,364741.0
2745,DH Paul Sweet Access Door Wate,2728.0
2747,ECH MV Auxiliary Escort Office,52554.0
2752,ECH MV SPD Equipment Replaceme,361091.0
2754,ECH MV IR#4 Lead Patch,903.0
2755,FSD & HVAC Equip FA Repairs,137941.0
2756,ECH LG Kitchen Dish Washroom,1004.0
2759,Flood 730 Welch,38773.0
2760,ECHMV Charbroiler Replacement,2604.0
2761,Mission Springs,20805.0
2764,ECH MOB COVID Tent Prep-work,2609.0
2767,PAMF 795 LINAC Replacem PreCon,16981.94
2768,ECHMV Sobrato Ste. 515 Chair r,3196.0
2769,ECHMV Inpatient Pharmacy Plexi,975.0
2770,ECHLG ICU-2 Thermometer Bracke,822.5
2771,ECHLG Cancer Center Misc. Task,2757.0
2772,ECHMV Willow Pavilion 2nd Floo,2661.0
2773,ECH MV Melchor 102 TI,21956.0
2774,LPCH Bass 1628 Water Damange,16157.0
2777,ECH LG OR Floor Repairs,3146.0
2778,ED Waiting Rm Curtain Track,5599.0
2779,ARU Courtyard Conduit Leak,6645.0
2780,Brodie Const. Mgmt SCU Pothole,18540.0
2782,ECHMV Melchor Ste 102 Sound Is,7663.0
2783,ECHMV Melchor Ste 302 & 310 T.,170860.0
2784,LPCH 730 Ortho Med Rm/Corridor,12333.0
2786,Mammo Dept. Keyboard Trays,1722.0
2788,PAMF 701 MVC Overhang Repair,36118.0
2789,LPCH 770 Welch 2F bathroom,48714.0
2790,DH Above Ceiling Cleanup,468.0
2791,ECH MV 3B Monitor I.C,1171.0
2792,DH Room 1129 Access Door,1544.0
2793,"PAMF Fremont Liberty, Ste 420",82208.44
2794,ECHLG Endo Utility Room Sink,7984.0
2795,ECH MV Pyxis Anchor Removal,5492.0
2796,IHC 125 N Jackson Suite 101,4854.0
2797,ECHMV CEO Office Modifications,7278.0
2798,LPCH West Bldg Dialysis Leak,114651.0
2800,PAMF 535 Oakmead Exterior ADA,8690.0
2802,ECHMV Melchor Ste. 309,7286.0
2803,ECHMV Sobrato Ste. 660,75838.0
2804,DH AHU-5 Existing Duct Seal,26788.0
2806,LPCH PDC F Pod Leak Repair,32578.0
2807,ECHLG 320-340 Dardanelli Dry R,10629.0
2808,ECHLG 320 Dardanelli #27B Plum,3366.0
2809,ECHMV COVID-19 Assemble & Anch,567.0
2810,ECHMV 1503 Grant Rd Misc Tasks,28231.0
2816,ECH LG PACU Med Sleds,2304.0
2817,ECHMV IKEG Imaging Rm Refresh,4206.0
2818,UHA 1300 Crane ... Clinic Move,8045.0
2819,LPCH 770 Welch Pulmonary HVAC,66335.0
2821,Spring Fertility Cryo Storage,94613.0
2823,Franciscan - St Clare Retreat,119390.0
2824,DH Radiology Damper,3092.0
2826,DH OR Corridor Emergency Power,1892.0
2827,Diagnostics Equip. Install,996.0
2828,PACU Mecho shade I.C,1783.0
2830,DH Penthouse Corrections,11661.0
2832,GDG 20-0857 De Paul Urgent Car,9500.0
2833,ECHMV Sobrato Ste 300 Casework,1151.0
2834,DH Cafeteria Light Replacement,98837.0
2837,ECHMV Melchor Ste. 309 TI,34964.0
2839,DH Auto Door Fixes for FA,24124.0
2841,IHC 455 O'Connor Ste 200 FMC E,8009.0
2842,IHC 2039 Forest Ste 105 Eyewas,6484.0
2846,OCH COVID Surge Tent,1876.0
2847,ECHLG 340 Dardanelli Ste. 22 S,16447.0
2848,PAMF 4000 Dublin - 3rd Fl Infu,7300.0
2850,SMSC Dornoch Seismic Bracing,873.0
2851,LPCH MRI dept leak,33721.0
2852,LPCH Rm 1209 Change of Use,20585.0
2853,ECHMV 1426-North Addition Demo,43970.0
2854,DH OR 4 Ceiling Light Cleaning,664.0
2856,Central Supply Shelving Anchor,1180.0
2857,DH Education Bldg Receptacles,888.0
2858,OCH OR Pyxis Anchoring,5999.9
2859,DH OR 4 Light Replacement,310449.8
2862,DH NICU Office Containment,622.0
2864,IHC Forest Temp Barrier,6035.0
2865,LPCH 1F access door at soffit,7440.0
2866,ECHLG Spine Program Coordinato,9240.0
2867,ECHMV Misc Work Authorizations,7893.0
2868,ECHMV New Main Lab COVID Testi,10000.0
2869,ECHMV Building 3 ADA Ramp,52888.91
2870,ECHLG 700 W Parr Suite I,16900.0
2873,ECHMV Sobrato Ste 545 Exam Sin,30985.0
2874,ECHMV Sobrato Ste 545 Door Ope,1280.0
2875,ECHMV Fogarty 3rd Floor Sink R,4407.0
2880,DH DECC Building Access Door,2499.0
2881,ECHLG Engineering Punchlist,1712.0
2882,ECHMV Anchor Scope Cabinets,2231.0
2883,ECHMV Sobrato Ste. 560 Casewor,5838.0
2885,MHS Non-OSHPD IT Refresh,544194.0
2886,SMSC Parking Lot Water Leak,27892.0
2888,LPCH Rm 3612 Leak,38598.0
2890,CMT LG Surgical Center Outlet,3038.0
2891,DH Flooring Containment,5108.0
2892,ECH MV Mac Project #602080,567.0
2893,ECH MV Mac Project #593572,1732.0
2894,ECH LG OR Department Repairs,8159.5
2895,DH 2108 Drywall Repair,1512.0
2896,ECH LG Sleep Center Rm Modific,6853.0
2898,DH Patient Room FA/Nurse Call,640.0
2899,DH Basement Wall and Drywall R,4428.0
2900,PAMF 795 LINAC Replace - Const,2252556.0
2904,ECH LG 360 Dardanelli Suite,38934.0
2905,ECH LG OR Hooks,1039.0
2906,ECH MV Sobrato 625 Countertop,3621.0
2907,DH Dr. Parking Lot Sidewalk Re,3974.0
2908,DH OR #3 Light Support,63209.38
2909,LPCH OR Leak,888350.76
2910,ECHMV ED Remodel Misc. Tasks,10655.0
2911,2020 UHA Permit Fees,8724.02
2913,OCM - LPCH Refrigeration Proje,56093.0
2914,DH Basement Cores E Power,524.0
2915,ECHMV Outpatient Lab Relocate,1019.0
2918,ECHMV Pharmacy Compounding Rm,62542.0
2920,ECH MV Christmas Tree Bracket,558.0
2921,SEQ - Speed Bump Repair for Fi,2768.0
2922,UHA - Site Changes 1300 Crane,10427.0
2923,IHC Silvercreek COVID-19 Freez,109093.0
2925,SMSC 2907 Chanticleer Procedur,5138.0
2927,PAMF 701 1NW081 (2) Cabs,5997.0
2928,PSC - Steris Sterilizer Leak R,31874.0
2929,ECHMV Willow Pavilion Monitor,430.0
2930,ECHMV Mother-Baby Wall Bracket,2392.0
2931,ECHMV Taube Pavilion Misc Task,3219.0
2932,ECHMV ED Stainless Steel Suppl,430.0
2933,ECHMV Acoustical Panel Work Be,2351.0
2934,DH Dialysis at Critical Care,5975.0
2936,ECHMV Added Delay Egress Devic,206845.0
2938,DH L&D Sewer Repair,795.0
2940,Mercy San Juan Non-OSHPD IT Re,1091522.2
2941,Woodland Non-OSHPD IT Refresh,1217834.97
2944,DH DECC Water Damage,526.0
2945,Albion 530 Apple Valley Lane W,1250.0
2947,DH Paul Sweet Fence Repair,640.0
2948,ECHMV I.C for COVID Freezer El,306.0
2949,LPCH 750 Welch Road Refresh Pr,335412.99
2952,ECHLG Nuc Med Investigations,3944.0
2953,ECHLG Engineering Punchlist #2,85277.0
2954,ECHMV Willow GCX Brackets,703.0
2956,ECHLG Ortho Rm 1014 and 1016,88482.0
2958,SLRH COVID Freezer,61453.0
2959,ECHLG Neptune Docking Station,7679.0
2961,ECHLG OPS II Door Louver,714.0
